# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
42756,0,0,1.92661e+09,CPU3_382,17,1907.53,1501,98
10692,0,0,1.07735e+09,CPU3_381,17,1066.68,1325,98
21444,0,16.8263,1.91217e+09,SW2_4,17,18.5646,326,4
43061,0,0,1.20091e+09,CPU3_380,17,1189.02,2505,98
347,0,0,1.22738e+09,CPU3_379,17,1215.23,2681,98
43368,0,0,7.99883e+08,CPU3_378,17,791.963,1964,98
10884,0,0,9.80735e+08,CPU3_377,17,971.025,1909,98
21825,0,0,3.79484e+08,CPU3_376,17,375.727,2968,98
43732,0,0,1.69777e+09,CPU3_375,17,1680.96,1049,98
44108,0,16.9063,1.93886e+09,SW2_5,17,18.6689,188,4
5556,0,0,1.7487e+09,CPU3_374,17,1731.39,2495,98
44621,0,0,1.11348e+09,CPU3_373,17,1102.46,1901,98
44781,0,16.9229,3.48083e+08,SW2_2,17,17.2393,462,4
45097,0,0,1.88026e+09,CPU3_372,17,1861.64,1538,98
39,0,0,5.29891e+08,CPU3_371,17,524.644,1298,98
45475,0,0,7.67464e+07,CPU3_370,17,75.9866,1278,98
45525,0,15.7661,4.33852e+08,SW4_12,17,16.1535,559,5
45598,0,0,1.45195e+08,CPU3_369,17,143.758,1457,98
45638,0,0,3.73217e+08,CPU3_368,17,369.521,2022,98
11407,0,15.8048,1.73473e+09,SW4_19,17,17.3537,558,5
45706,0,0,1.21325e+08,CPU3_367,17,120.124,2816,98
11488,0,15.8842,1.87518e+09,SW4_34,17,17.5585,905,5
2868,0,15.8933,1.89026e+08,SW4_20,17,16.0621,784,5
5777,0,16.9258,6.9351e+08,SW2_10,17,17.5563,393,4
46234,0,16.9357,5.91118e+08,SW2_13,17,17.4731,62,4
23233,0,15.9086,1.57082e+09,SW4_32,17,17.3111,855,5
46622,0,15.9133,8.90894e+07,SW4_18,17,15.9928,816,5
5841,0,15.9147,1.51676e+09,SW4_13,17,17.269,634,5
11697,0,16.9461,2.47586e+08,SW2_3,17,17.1711,388,4
46857,0,0,8.40561e+08,CPU3_366,17,832.239,2807,98
47075,0,0,2.76278e+08,CPU3_365,17,273.543,1634,98
23710,0,0,1.04301e+08,CPU3_364,17,103.268,1357,98
11941,0,15.9394,4.16906e+08,SW4_38,17,16.3116,520,5
23880,0,0,2.24939e+08,CPU3_363,17,222.712,1914,98
23887,0,0,4.32882e+08,CPU3_362,17,428.596,2763,98
1507,0,15.9567,1.19884e+09,SW4_31,17,17.0271,574,5
12070,0,0,2.26068e+08,CPU3_361,17,223.829,1299,98
24397,0,0,1.64402e+09,CPU3_360,17,1627.74,2912,98
48941,0,0,8.61614e+08,CPU3_359,17,853.084,1815,98
12254,0,16.999,1.78994e+09,SW2_11,17,18.6262,72,4
24530,0,0,2.62324e+08,CPU3_358,17,259.727,1998,98
49190,0,15.9715,3.03489e+08,SW4_16,17,16.2424,293,5
24754,0,0,9.31924e+08,CPU3_357,17,922.697,1618,98
49918,0,15.9928,1.4099e+09,SW4_18,17,17.2517,550,5
25672,0,0,8.64349e+08,CPU3_356,17,855.791,2031,98
25764,0,16.0143,2.39315e+08,SW4_25,17,16.2279,270,5
6438,0,0,6.80675e+08,CPU3_355,17,673.936,3144,98
25909,0,16.0621,8.34413e+08,SW4_20,17,16.8071,420,5
12984,0,0,1.79274e+09,CPU3_354,17,1774.99,1459,98
13026,0,0,1.03895e+09,CPU3_353,17,1028.66,2480,98
13067,0,16.1286,1.88826e+08,SW4_26,17,16.2971,928,5
13146,0,16.145,1.89768e+09,SW4_14,17,17.8394,652,5
26506,0,16.1535,1.4317e+09,SW4_12,17,17.4318,329,5
26766,0,16.1624,9.83986e+08,SW4_24,17,17.0409,180,5
27196,0,0,6.19068e+08,CPU3_352,17,612.939,2247,98
